tag,workload,container,precision,config_variant,gpu_type_preset,gpus,tp,pp,cp,ep,dp,mbs,gbs,ga,cuda_graph,seq_len,iters_completed,status,s_iter,s_iter_std,tflops_per_gpu,tflops_std,tokens_s_per_gpu,failure_code,note,experiment
A1-llama31-8b-bf16fallback,llama3.1-8b,26.06.01,nvfp4,v1,gb200,4,1,1,1,1,4,1,8,2,local,8192,50,OK,3.457,0.001,243.91,0.03,4739,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs1_gbs8
A2-qwen3-30b-bf16fallback,qwen3-30b-a3b,26.06.01,bf16,v1,vr200,4,1,1,1,4,4,1,256,64,transformer_engine,4096,50,OK,37.202,0.143,162.12,0.61,7047,,,pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs1_gbs256
B1-llama31-8b-nvfp4-gb300,llama3.1-8b,26.06.01,nvfp4,v1,gb300,4,1,1,1,1,4,2,8,1,local,8192,0,FAILED,,,,,,fp8_dpa_no_backend,TransformerEngine has no fp8 attention backend for this arch; every nvfp4/fp8 preset sets fp8_dot_product_attention=true. Workaround: mixed_precision.fp8_dot_product_attention=false model.fp8_dot_product_attention=false,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8
B2-llama31-8b-fp8cs-gb300,llama3.1-8b,26.06.01,fp8_cs,v1,gb300,4,1,1,1,1,4,2,8,1,local,8192,50,OK,0.453,0.002,1860.35,6.28,36168,,,pretrain_llama31_8b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8
B3-qwen3-30b-bf16-gb300,qwen3-30b-a3b,26.06.01,bf16,v1,gb300,4,1,1,1,4,4,8,256,8,transformer_engine,4096,1,FAILED,,,,,,oom_moe,"OOM: the gb300 preset assumes EP=8 across 8 GPUs, so EP=4 on a single node doubles expert weights per GPU. Lower MBS.",pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs8_gbs256
B4-qwen3-30b-fp8cs-gb300,qwen3-30b-a3b,26.06.01,fp8_cs,v1,gb300,4,1,1,1,4,4,8,256,8,transformer_engine,4096,3,FAILED,,,,,,oom_moe,"OOM: the gb300 preset assumes EP=8 across 8 GPUs, so EP=4 on a single node doubles expert weights per GPU. Lower MBS.",pretrain_qwen3_30b_a3b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs8_gbs256
B5-llama31-8b-nvfp4-gb200preset-mbs1gbs8,llama3.1-8b,26.06.01,nvfp4,v1,gb200,4,1,1,1,1,4,1,8,2,local,8192,0,FAILED,,,,,,fp8_dpa_no_backend,TransformerEngine has no fp8 attention backend for this arch; every nvfp4/fp8 preset sets fp8_dot_product_attention=true. Workaround: mixed_precision.fp8_dot_product_attention=false model.fp8_dot_product_attention=false,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs1_gbs8
C-2608-l8-bf16fallback,llama3.1-8b,26.08.00,nvfp4,v1,gb200,4,1,1,1,1,4,1,8,2,local,8192,50,OK,3.400,0.001,236.61,0.09,4819,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs1_gbs8
F-2606-l8-bf16fallback-mbs2,llama3.1-8b,26.06.01,nvfp4,v1,gb200,4,1,1,1,1,4,2,8,1,local,8192,50,OK,3.410,0.003,247.32,0.18,4805,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8
F-2606-l8-fp8cs-mbs4,llama3.1-8b,26.06.01,fp8_cs,v1,gb300,4,1,1,1,1,4,4,16,1,local,8192,50,OK,0.860,0.005,1962.03,11.43,38102,,,pretrain_llama31_8b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs16
